,SN_name,host,mu_ceph,e_mu,Bmax,eBmax,Vmax,eVmax,stretch,err_stretch,color,e_color,log_Mass,e_logMass
0,SN1995al,N3021,32.498,0.09,13.339,0.01,13.172,0.01,1.075,0.018,0.167,0.014,10.32,0.042
1,SN2011by,N3972,31.587,0.07,12.889,0.009,12.821,0.009,0.947,0.007,0.068,0.013,9.714,0.034
2,SN2012fr,N1365,31.307,0.057,11.976,0.006,11.943,0.004,1.122,0.009,0.033,0.007,11.034,0.032
3,SN1981B,N4536,30.906,0.053,11.863,0.016,11.788,0.021,0.639,0.038,0.075,0.026,10.352,0.03
4,SN2003du,U9391,32.919,0.063,13.492,0.004,13.548,0.004,1.011,0.004,-0.056,0.006,8.6,0.13
5,SN2005cf,N5917,32.263,0.102,13.25,0.004,13.246,0.004,0.947,0.004,0.004,0.006,9.522,0.052
6,SN2011fe,M101,29.135,0.045,9.93,0.004,9.947,0.003,0.937,0.003,-0.017,0.005,10.453,0.031
7,SN2013dy,N7250,31.499,0.078,12.757,0.004,12.554,0.003,1.136,0.01,0.203,0.005,9.425,0.043
8,SN2002fk,N1309,32.523,0.055,13.205,0.023,13.209,0.017,1.189,0.034,-0.004,0.029,10.368,0.029
9,SN1998aq,N3982,31.737,0.069,12.322,0.006,12.414,0.004,0.94,0.004,-0.092,0.007,10.128,0.033
10,SN2007af,N5584,31.786,0.046,13.164,0.003,13.058,0.003,0.919,0.003,0.106,0.004,9.668,0.037
11,SN1994ae,N3370,32.072,0.049,13.064,0.051,12.933,0.041,1.125,0.157,0.131,0.065,10.025,0.027
12,SN2012cg,N4424,31.08,0.292,12.116,0.008,11.93,0.008,1.101,0.019,0.186,0.011,9.732,0.134
13,SN2015F,N2442,31.511,0.053,12.823,0.009,12.695,0.01,0.865,0.007,0.128,0.013,10.93,0.031
14,SN1990N,N4639,31.532,0.071,12.65,0.008,12.574,0.006,0.976,0.006,0.076,0.01,10.059,0.035
15,SN2007sr,N4038,31.29,0.112,12.741,0.058,12.568,0.042,1.022,0.023,0.173,0.072,10.05,0.12
16,SN2012ht,N3447,31.908,0.043,12.393,0.004,12.576,0.005,0.854,0.004,-0.183,0.006,8.35,0.15
17,SN2009ig,N1015,32.497,0.081,13.478,0.008,13.372,0.007,1.134,0.023,0.106,0.011,10.248,0.04
18,SN2001el,N1448,31.311,0.045,12.831,0.007,12.601,0.005,0.949,0.006,0.23,0.009,10.466,0.025
