,SN_name,Bmax,eBmax,stretch,err_stretch,Vmax,eVmax,color,e_color,log_Mass,e_logMass,redshift
0,SN2005iq,16.846,0.011,0.873,0.011,16.841,0.007,0.005,0.013,10.693,0.149,0.032951567322
1,SN1999X,16.333,0.143,0.947,0.028,16.197,0.092,0.136,0.17,10.309,0.17,0.0257653091103
2,SN2007is,16.432,0.079,0.948,0.053,16.356,0.057,0.076,0.097,10.846,0.156,0.0296811852604
3,SN2006ax,15.088,0.012,0.992,0.01,15.078,0.01,0.01,0.016,10.8,0.148,0.0177266895771
4,SN2006cp,15.993,0.018,1.07,0.035,15.903,0.017,0.09,0.025,10.177,0.155,0.0233412664384
5,SN2007A,15.671,0.012,1.018,0.011,15.53,0.008,0.141,0.014,10.753,0.151,0.0159502848983
6,SN2008Y,18.325,0.145,1.189,0.079,18.259,0.099,0.066,0.176,10.983,0.181,0.070289363
7,SN2003iv,17.047,0.015,0.701,0.052,17.034,0.013,0.013,0.02,11.085,0.157,0.0335774756968
8,SN2004L,17.407,0.109,0.914,0.056,17.076,0.066,0.331,0.127,10.738,0.188,0.0334101244807
9,SN2006cq,17.602,0.017,1.087,0.24,17.536,0.023,0.066,0.029,11.233,0.206,0.0492143444717
10,SN2006bb,16.581,0.097,0.741,0.021,16.359,0.054,0.222,0.111,10.916,0.172,0.0252423547208
11,SN2006or,16.8,0.229,0.833,0.066,16.512,0.106,0.288,0.252,11.288,0.207,0.02166968
12,SN2008bz,17.943,0.087,0.969,0.062,18.031,0.067,-0.088,0.11,10.766,0.174,0.0614346414804
13,SN2001ic,18.127,0.204,0.722,0.113,17.647,0.122,0.48,0.238,11.534,0.242,0.042963424
14,SN2005hc,17.391,0.019,0.984,0.024,17.307,0.015,0.084,0.024,10.82,0.157,0.0449722185731
15,SN1997E,15.166,0.011,0.794,0.013,15.083,0.007,0.083,0.013,8.867,0.181,0.0131341582164
16,SN1998dx,17.641,0.027,0.845,0.029,17.626,0.017,0.015,0.032,11.375,0.154,0.0538899973035
