,SN_name,host,mu_SBF,e_mu,Bmax,eBmax,Vmax,eVmax,stretch,err_stretch,color,e_color,log_Mass,e_logMass
0,SN1981D,NGC1316,31.59,0.05,12.486,0.048,12.327,0.046,0.852,0.041,0.159,0.066,11.514,0.032
1,SN1997E,NGC2258,33.5,0.15,15.171,0.009,15.082,0.007,0.795,0.012,0.089,0.011,11.199,0.069
2,SN2012fr,NGC1365,31.51,0.03,12.0,0.006,11.968,0.004,1.231,0.006,0.032,0.007,11.022,0.048
3,SN1981B,NGC4536,31.09,0.05,11.863,0.016,11.788,0.021,0.639,0.038,0.075,0.026,10.349,0.025
4,SN2003hv,NGC1201,31.566,0.304,12.455,0.049,12.544,0.036,0.764,0.02,-0.089,0.061,10.565,0.064
5,SN1970J,NGC7619,33.582,0.151,14.865,0.037,14.619,0.037,0.916,0.029,0.246,0.052,11.34,0.073
6,SN2017fgc,NGC0474,32.536,0.133,13.619,0.019,13.345,0.014,0.957,0.018,0.274,0.024,10.568,0.061
7,SN2006dd,NGC1316,31.59,0.05,12.27,0.003,12.287,0.003,0.95,0.003,-0.017,0.004,11.514,0.032
8,SN1991T,NGC4527,31.09,0.05,11.587,0.007,11.402,0.005,1.189,0.01,0.185,0.009,10.488,0.042
9,SN2007on,NGC1404,31.526,0.072,13.046,0.004,12.931,0.004,0.566,0.005,0.115,0.006,10.932,0.035
10,SN1998bp,NGC6495,33.1,0.15,15.368,0.013,15.071,0.014,0.597,0.025,0.297,0.019,10.462,0.069
11,SN2011iv,NGC1404,31.526,0.072,12.446,0.008,12.389,0.009,0.652,0.014,0.057,0.012,10.932,0.035
12,SN1992A,NGC1380,31.632,0.075,12.53,0.004,12.5,0.004,0.777,0.006,0.03,0.006,10.931,0.032
13,SN1992bo,E352-057,34.27,0.15,15.758,0.013,15.746,0.011,0.712,0.013,0.012,0.017,10.395,0.071
14,SN2014bv,NGC4386,32.19,0.494,13.999,0.018,13.809,0.013,0.64,0.021,0.19,0.022,10.48,0.064
15,SN2012cg,NGC4424,31.02,0.18,12.116,0.008,11.93,0.008,1.101,0.019,0.186,0.011,9.706,0.083
16,SN2008Q,NGC524,31.922,0.212,13.459,0.014,13.512,0.01,0.804,0.022,-0.053,0.017,10.929,0.09
17,SN1995D,NGC2962,32.6,0.15,13.379,0.033,13.253,0.015,1.256,0.025,0.126,0.036,10.597,0.069
18,SN2018aoz,NGC3923,31.795,0.101,12.515,0.009,12.59,0.008,0.841,0.007,-0.075,0.012,11.204,0.065
19,SN2016coj,NGC4125,31.922,0.258,13.205,0.021,12.978,0.013,0.891,0.011,0.227,0.025,11.083,0.064
20,SN1983G,NGC4753,31.92,0.197,12.789,0.102,12.614,0.071,1.189,0.059,0.175,0.124,11.148,0.064
21,SN1996X,NGC5061,32.26,0.19,13.075,0.024,13.081,0.017,0.893,0.022,-0.006,0.029,11.057,0.086
22,SN1980N,NGC1316,31.59,0.05,12.459,0.011,12.334,0.012,0.848,0.011,0.125,0.016,11.514,0.032
23,SN2015bp,NGC5839,31.737,0.315,13.697,0.014,13.664,0.016,0.681,0.018,0.033,0.021,9.979,0.137
24,SN2000cx,NGC524,31.922,0.212,13.134,0.007,13.069,0.006,0.907,0.006,0.065,0.009,10.929,0.09
25,SN1994D,NGC4526,31.32,0.12,11.769,0.007,11.827,0.005,0.784,0.006,-0.058,0.009,10.996,0.055
